23?,School/Institute,Location,Start date,End date,Application deadline,Topic(s),Link,Date added to this list
Y,San Diego State University,"San Diego, CA",Jun 12,Aug 6,Mar 4,Number Theory: Numerical Semigroups; Applied Mathematics: Practical Identifiability,http://www.sci.sdsu.edu/math-reu/,Jan 2
Y,Santa Fe Institute,"Santa Fe, NM",Jun 5,Aug 13,Jan 11,Complexity,https://www.santafe.edu/engage/learn/programs/undergraduate-complexity-research,Jan 2
Y,SMALL REU (Williams College),"Williamstown, MA",Jun 13,Aug 12,"Feb 2
Feb 4 (stones)","Number theory and probability; Connections between combinatorics, geometry, and data science; Knot theory
Stepping stones problem","http://math.williams.edu/small/
https://www.mathprograms.org/db/programs/1192
https://www.mathprograms.org/db/programs/1171
https://www.mathprograms.org/db/programs/1207
https://www.mathprograms.org/db/programs/1261 (stones)",Oct 31
Y,SPIRAL and SPATIAL-Stats,"Washington, DC",Jun 5,Jul 23,Apr 8," Students will participate in research seminars in mathematics, probability and statistics in which research projects will be investigated in teams. Each team will write a final paper discussing their results and give an oral presentation.
There will be an intensive seven-week course emphasizing proofs and problem solving with workshops and daily homework consisting of modules that will include Combinatorics, and Modeling the Spread of Infectious and Non-Infectious Diseases (Statistics).",https://www.spatialreu.org/,Feb 20
Y,SUMRY (Yale University),"New Haven, CT",May 31,Jul 28,Feb 3,"algebra, analysis, applied analysis, combinatorics, data rep, discrete math, geometry, homogeneous dynamics, knot theory, math physics, number theory, probability, topology","https://sumry.yale.edu/
https://www.mathprograms.org/db/programs/1224",Nov 15
Y,Texas A&M,"College Station, TX",May 31,Jul 22,Feb 21,Algorithmic Algebraic Geometry; Number Theory; Probability and Algebra - Random interacting particle systems and Casimir elements,"https://www.math.tamu.edu/ugs/research/REU/
https://www.mathprograms.org/db/programs/1226",Jan 6
Y,Texas State University,"San Marcos, TX",Jun 13,Aug 5,Feb 28,"Algebra, Combinatorics, and Statistics",https://www.math.txstate.edu/research-conferences/summerreu.html,Oct 31
Y,Texas Tech University,"Lubbock, TX",Jun 6,Jul 29,Mar 6,"Mathematical, Statistical and Computational Methods for Problems in the Life Sciences","https://www.mathprograms.org/db/programs/1231
https://www.math.ttu.edu/undergraduate/reu2022/",Jan 12
Y,Towson University,"Towson, MD",Jun 6,Jul 29,Feb 28,Algebraic graph theory; Analytic number theory; Partial differential equations,https://www.mathprograms.org/db/programs/1262,Feb 2
Y,Tufts University (VERSEIM),"Medford, MA",May 30,Aug 5,Mar 1,Limited Data Tomography; Number Theory; Fractals; Data Science and Graph Theory; Mathematical Biology; Spectral Graph Theory,https://sites.tufts.edu/verseimreu/,Dec 14
Y,UC Davis,"Davis, CA",Jun 21,Aug 12,Feb 19,Rotating fluid dynamics experiments and partial differential equations; Pseudorandom graphs from sum-and-product games; Lagrangian skeleta for Stein traces,"https://reu.math.ucdavis.edu/
https://www.mathprograms.org/db/programs/1233",Jan 2
Y,UC Davis (Physics & Astronomy),"Davis, CA",Jun 12,Aug 20,Feb 14,Complex Systems and Computational Physics; ...,https://london.physics.ucdavis.edu/~reu/reu.html,Jan 7
Y,UCLA,(online),Jun 13,Aug 5,Feb 18,"Applied and Computational Mathematics, Machine Learning, Fluid Dynamics, Image Processing, Robotics, Modeling, Simulation",https://www.mathprograms.org/db/programs/1249,Jan 25
Y,UNC Charlotte,"Charlotte, NC",May 23,Jul 29,Mar 31,Optimal consumption and asset allocation: designing solutions for new reitreees; Examination of dynamic predicatbility of excess returns; Intricacy for Markov random fields; On the zeros of partial sums of the Riemann zeta function; Bridge designing for the worst of days; Knot theory with a graph theory approach,https://pages.charlotte.edu/mathresearch/,Mar 9
Y,University of Chicago,"Chicago, IL",Jun 13,Aug 5,Feb 11,,"http://math.uchicago.edu/~may/REU2022/
https://www.mathprograms.org/db/programs/1205",Dec 7
Y,University of Connecticut,"Storrs, CT",May 30,Aug 6,Feb 28,TBA,https://mathreu.uconn.edu/,Jan 31
Y,University of Houston,(online),Jun 1,Jul 15,Feb 15,Formation of spiral waves in oscillatory media using tools from partial differential equations,https://www.math.uh.edu/~gabriela/REU.html,Dec 5
Y,University of Illinois - Urbana-Champaign,"Urbana, IL",May 31,Jul 29,Rolling,Computer science research,https://cs.illinois.edu/research/undergraduate-research/summer-research-experience-undergraduates,Jan 28
Y,University of Maryland,"College Park, MD",Jun 11,Aug 5,Feb 25,Mathematical modeling in material science with the emphasis on classical and quantum mechanics; Machine learning methods for the study of rare events in stochastic systems,"https://www-math.umd.edu/outreach/summer-reu.html
https://www.mathprograms.org/db/programs/1248",Jan 25
Y,University of Maryland,"College Park, MD",~ June 6,~ Aug 12,Mar 1,"Combinatorics, Algorithms, and AI for Real Problems (CAAR): Exploring the Hilbert Geometry; Verification of Quantum Simulation; Concrete Security Estimation for Post-Quantum Cryptosystems with Side Information; Differentiable Economics; Toward Fair Decision Making and Resource Allocation",http://www.cs.umd.edu/projects/reucaar/index.html,Jan 22
Y,University of Maryland (TREND),"College Park, MD",May 31,Aug 5,Feb 11,"Projects are computational, experimental, theoretical, or a combination of these. Topics include 2D materials; biophysics; chaos; lasers; mathematical biology; nanodevices; neural networks; optoelectronics; particle physics/particle rings; plasma reconnection; robotics; turbulence",https://ireap.umd.edu/trend,Jan 7
Y,"University of Maryland, Baltimore County","Baltimore, MD",June 6,Jul 29,Mar 1,Big data,https://bigdatareu.umbc.edu/,Jan 7
Y,University of Michigan,"Ann Arbor, MI",> May 1,< Aug 31,Feb 3,Dates and times vary by mentor pairing,https://lsa.umich.edu/math/undergraduates/research-and-career-opportunities/research/research-experience-for-undergraduates--reu-.html,Oct 31
Y,University of Michigan (Big Data Summer Institute),"Ann Arbor, MI",Jun 20,Jul 29,"Feb 15
Mar 1","Big data, statistics, and human health
**Applications reviewed on rolling basis until filled","http://www.bigdatasummerinstitute.com/
Contact: tarakaz@umich.edu",Nov 18
Y,University of Michigan-Dearborn,"Dearborn, MI",May 23,Jul 15,Feb 20,Spectral theory and CR geometry; Eigenvalues of Markov matrix of the asymmetric simple exclusion process; Error-correcting codes coming from toric varieties; Linear fractional transformations; Value distribution of Dedekind sums; Mathematical music theory: an algebraic analysis of Schubert's piano sonato in B-flat major; Phase retrieval with applications to optical microscopy,"https://sites.google.com/a/umich.edu/math-reu/
https://www.mathprograms.org/db/programs/1219
https://www.mathprograms.org/db/programs/1225",Dec 28
Y,University of Minnesota - Duluth,"Duluth, MN",May 25,Jul 20,Feb 15,"combinatorics, combinatorial number theory, and graph theory","https://www.d.umn.edu/~jgallian/REU.html
https://www.mathprograms.org/db/programs/1218",Dec 28
Y,University of Minnesota - Twin Cities,"Minneapolis, MN",Jun 13,Aug 5,Feb 16,Algebraic combinatorics,"https://www-users.cse.umn.edu/~reiner/REU/REU.html
https://www.mathprograms.org/db/programs/1194",Nov 14
Y,"University of North Carolina, Greensboro",(online),May 23,Jul 29,Feb 28,Complex data analysis using statistical and machine learning tools,https://mathstats.uncg.edu/statistics-reu/reu-2022/,Jan 13
Y,University of Notre Dame,"Notre Dame, IN",Aug 1,Aug 5,Mar 11,"Undergraduate Workshop in Geometry and Topology. This is a week long event with two components: Part I, where basic concepts in geometry and topology will be introduced, followed by Part II, which will be a workshop aimed at more advanced undergraduates. Participants can attend part I, part II, or both.",https://www.mathprograms.org/db/programs/1260,Feb 1
Y,University of Pittsburgh,"Pittsburgh, PA",May 23,Jul 30,Feb 14,Computational biology,https://www.tecbioreu.pitt.edu/,Jan 22
Y,University of Rochester,"Rochester, NY",May 24,Jul 29,Feb 6,"Computational Methods for Understanding Music, Media, and Minds",https://www.sas.rochester.edu/dsc/undergraduate/reu.html,Jan 7
Y,University of Tennessee Chattanooga,"Chattanooga, TN",~ May 15,Jul 30,Mar 1,Interdisciplinary Computational Biology: Systems biology of aging and deep learning of biological big data; Mathematical and computational modeling for infectious diseases; A topological model for protein folding; Rare versus common plant species; ... ,https://www.utc.edu/engineering-and-computer-science/academic-programs/computer-science-and-engineering/undergraduate-programs/icompbio-reu,Jan 7
Y,"University of Tennessee, Knoxville","Knoxville, TN",,,Feb 15,"A Research Experience for Undergraduates in Bioinformatics, Genetics, and Genomic (BiGG) Sciences
Particpants must be women or women aligned",https://reeu.tennessee.edu/,Jan 28
Y,"University of Tennessee, Knoxville (RECSEM)","Knoxville, TN",May 30,Aug 5,Mar 20,"The research projects are categorized in three interrelated areas of research interests: engineering applications, numerical mathematics, and linear algebraic software and tools",https://www.jics.utk.edu/recsem-reu,Jan 31
Y,University of Texas at Tyler,"Tyler, TX",May 23,Jul 15,Feb 18,"inverse semigroups, number theory, and reliability polynomials","https://www.uttyler.edu/math/research-experience-for-undergraduates/
https://www.nsfetap.org/",Jan 13
Y,University of Texas Rio Grande Valley,"Edinburg, TX",Jun 13,Aug 12,Mar 31,Wave phenomena and mathematical modling; Mathematical modeling of spacial processes and deep spatial learning,https://www.utrgv.edu/smss-nsf-reu/index.htm,Mar 4
Y,University of Utah,"Salt Lake City, UT",Aug 1,Aug 5,Mar 31,"Mathematical Biology, Graduate School Preview in Mathematical Biology","http://www.math.utah.edu/~lawley/summer
https://www.mathprograms.org/db/programs/1265",Feb 10
Y,University of Virginia,"Charlotttesville, VA",,,Feb 15,Number theory; representation theory; topology,"https://uva.theopenscholar.com/reu/program
https://www.mathprograms.org/db/programs/1163",Oct 31
Y,University of Washington,"Seattle, WA",Jun 13,Aug 19,Feb 14,data science for social good,https://escience.washington.edu/get-involved/incubator-programs/data-science-for-social-good/,Jan 7
Y,University of Waterloo,"Waterloo, Canada",May 30,Jun 10,Jan 4,Undergraduate School on Experimental Quantum Information Processing,https://uwaterloo.ca/institute-for-quantum-computing/useqip,Jan 7
Y,Ursinus College,"Collegeville, PA",May 31,Jul 22,Mar 15,"biological models for population dynamics, statistical analysis of the COVID-19 spread, and computational topology",https://www.ursinus.edu/academics/mathematics-and-computer-science/research-experience-for-undergraduates-reu/,Oct 31
Y,Virginia Commonwealth University (VCU),"Richmond, VA",May 31,Jul 22,Feb 27,Evolutionary graph dynamics; Vaccination game theory,https://math.vcu.edu/reu/,Jan 5
Y,Washington University in St Louis,"St Louis, MO",May 31,Aug 5,Feb 17,Computer science; several projects with a focus on machine learning,https://sites.wustl.edu/csereu/,Jan 28
Y,Worcester Polytechnic Institute,"Worcester, MA",May 23,Jul 29,Mar 1,Data Science,https://www.wpi.edu/academics/departments/data-science/reu-program,Jan 7
Y,Worcester Polytechnic Institute,"Worcester, MA",Jun 1,Jul 29,???,Research Experiences for Undergraduates in Industrial Mathematics and Statistics,"https://www.mathprograms.org/db/programs/1264
https://labs.wpi.edu/CIMS/initiatives/REU/",Feb 9
Y,Youngstown University (BUMP),"Youngstown, OH",May 23,Jul 1,Mar 1,Program aimed at students early in their mathematics education; projects include Exploring Graph Theory; Exploratory Visualization via R Interactive Graphics; The Mathematics Behind and Applications of Google’s PageRank,https://ysu.edu/ysu-bump,Dec 5
Y,Auburn University,"Auburn, AL",May 31,Jul 24,Feb 28,Algebra and Discrete Mathematics,https://cws.auburn.edu/apspi/pm/mathreu,Jan 6
